username,year_month,comments_count_sum,comments_count_mean,like_count_sum,like_count_mean
soominnnnn,2022-07,6186,247,103424,4137
soominnnnn,2022-08,5772,241,58975,2457
soominnnnn,2022-09,8445,256,104993,3182
soominnnnn,2022-10,5912,328,89343,4964
soominnnnn,2022-11,10401,359,118677,4092
soominnnnn,2022-12,7883,328,145824,6076
soominnnnn,2023-01,3617,145,80593,3224
soominnnnn,2023-02,3460,102,100856,2966
soominnnnn,2023-03,3508,113,97963,3160
soominnnnn,2023-04,3511,100,131119,3746
soominnnnn,2023-05,2978,88,108192,3182
soominnnnn,2023-06,2763,95,98642,3401
soominnnnn,2023-07,1889,94,64500,3225
soominnnnn,2023-08,446,89,10686,2137
w_woo.n,2021-04,33,33,795,795
w_woo.n,2021-05,254,16,19562,1223
w_woo.n,2021-06,757,32,54186,2258
w_woo.n,2021-07,1554,52,66203,2207
w_woo.n,2021-08,1632,68,57550,2398
w_woo.n,2021-09,2262,103,59694,2713
w_woo.n,2021-10,2493,119,59539,2835
w_woo.n,2021-11,2425,71,98348,2893
w_woo.n,2021-12,1936,77,128947,5158
w_woo.n,2022-01,1247,45,45138,1612
w_woo.n,2022-02,1177,54,77405,3518
w_woo.n,2022-03,1510,63,64973,2707
w_woo.n,2022-04,913,46,44031,2202
w_woo.n,2022-05,392,36,25264,2297
w_woo.n,2022-06,327,23,11651,832
w_woo.n,2022-07,176,22,9560,1195
w_woo.n,2022-08,336,37,6372,708
w_woo.n,2022-09,221,32,1547,221
w_woo.n,2022-10,407,25,13262,829
w_woo.n,2022-11,1229,59,41436,1973
w_woo.n,2022-12,625,27,67489,2934
w_woo.n,2023-01,350,22,22905,1432
w_woo.n,2023-02,271,17,16634,1040
w_woo.n,2023-03,174,16,7436,676
w_woo.n,2023-04,189,13,10625,708
w_woo.n,2023-05,219,10,7097,338
w_woo.n,2023-06,220,12,8418,468
w_woo.n,2023-07,140,11,656,50
w_woo.n,2023-08,86,14,1703,284
zzjun.k,2019-10,14,14,1119,1119
zzjun.k,2019-11,1,1,579,579
zzjun.k,2019-12,10,10,947,947
zzjun.k,2020-01,24,12,2121,1061
zzjun.k,2020-04,7,7,1210,1210
zzjun.k,2020-08,53,13,3830,958
zzjun.k,2020-09,39,13,2848,949
zzjun.k,2020-10,68,10,6836,977
zzjun.k,2020-12,31,16,2280,1140
zzjun.k,2021-02,28,14,2353,1177
zzjun.k,2021-03,79,20,4098,1025
zzjun.k,2021-04,24,12,2050,1025
zzjun.k,2021-05,59,20,3664,1221
zzjun.k,2021-06,39,10,4269,1067
zzjun.k,2021-07,70,14,6586,1317
zzjun.k,2021-08,33,11,3617,1206
zzjun.k,2021-09,110,14,10769,1346
zzjun.k,2021-10,139,13,15981,1453
zzjun.k,2021-11,139,17,15228,1904
zzjun.k,2021-12,108,14,28960,3620
zzjun.k,2022-01,33,11,7389,2463
zzjun.k,2022-02,41,10,12173,3043
zzjun.k,2022-03,194,18,66444,6040
zzjun.k,2022-04,381,22,46337,2726
zzjun.k,2022-05,322,25,13516,1040
zzjun.k,2022-06,111,10,4431,403
zzjun.k,2022-07,98,11,7413,824
zzjun.k,2022-08,165,18,10683,1187
zzjun.k,2022-09,261,15,18351,1079
zzjun.k,2022-10,433,19,21428,932
zzjun.k,2022-11,470,21,19143,870
zzjun.k,2022-12,471,26,15553,864
zzjun.k,2023-01,716,34,19396,924
zzjun.k,2023-02,747,39,16869,888
zzjun.k,2023-03,1207,46,22727,874
zzjun.k,2023-04,1002,36,20831,744
zzjun.k,2023-05,576,29,17307,865
zzjun.k,2023-06,769,27,22949,791
zzjun.k,2023-07,814,35,18066,785
zzjun.k,2023-08,104,52,1566,783
