cln_index,제품관심,username,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
409,19,hoonxxy,659,2869,78
410,17,hoonxxy,573,4117,56
411,16,hoonxxy,701,3169,56
412,17,hoonxxy,392,3080,110
413,19,hoonxxy,475,3481,90
414,21,hoonxxy,480,3611,95
415,17,hoonxxy,669,2520,79
416,19,hoonxxy,521,2575,111
417,17,hoonxxy,611,2336,93
418,19,hoonxxy,1088,1572,87
419,18,hoonxxy,624,3266,69
420,21,hoonxxy,708,2735,85
421,18,hoonxxy,942,2414,62
422,20,hoonxxy,1220,2212,58
423,17,hoonxxy,1056,2065,61
424,16,hoonxxy,1165,1711,62
425,22,hoonxxy,948,2591,70
426,18,hoonxxy,1039,2454,55
427,17,hoonxxy,1252,1912,55
428,18,hoonxxy,876,2820,57
429,16,hoonxxy,1384,1638,55
430,18,hoonxxy,857,2692,61
431,18,hoonxxy,859,2730,60
432,21,hoonxxy,1631,1467,68
433,17,hoonxxy,1421,1662,56
434,20,hoonxxy,1239,1678,75
435,15,hoonxxy,1230,2161,44
436,15,hoonxxy,1496,1647,47
437,21,hoonxxy,1298,1112,114
438,16,hoonxxy,1698,1354,54
439,18,hoonxxy,1167,1795,67
440,17,hoonxxy,1352,1590,62
441,16,hoonxxy,1111,2245,50
442,16,hoonxxy,1669,1659,45
443,17,hoonxxy,1245,2225,48
444,18,hoonxxy,1087,1826,71
445,17,hoonxxy,1196,1745,63
446,16,hoonxxy,1201,2351,44
447,17,hoonxxy,806,1353,122
448,19,hoonxxy,819,1637,111
449,14,hoonxxy,1158,1808,52
450,15,hoonxxy,797,2362,62
452,18,hoonxxy,931,2299,65
453,16,hoonxxy,941,2668,50
454,18,hoonxxy,1201,2254,52
455,18,hoonxxy,1120,1611,78
456,15,hoonxxy,879,1392,96
457,17,hoonxxy,1268,1330,79
458,18,hoonxxy,690,1568,130
459,19,hoonxxy,859,2054,84
460,18,hoonxxy,1460,1703,56
463,13,hoonxxy,1100,1918,48
464,19,hoonxxy,1599,1266,73
465,19,hoonxxy,1353,1461,75
467,17,hoonxxy,893,1652,90
468,18,hoonxxy,927,1209,125
469,18,hoonxxy,1026,1727,79
471,20,hoonxxy,1027,1642,93
473,16,hoonxxy,1055,1941,61
474,16,hoonxxy,751,2225,75
475,17,hoonxxy,826,2003,80
476,15,hoonxxy,929,1722,73
477,17,hoonxxy,766,1741,100
478,18,hoonxxy,1194,1715,68
479,16,hoonxxy,931,1600,84
480,16,hoonxxy,428,2655,110
481,15,hoonxxy,784,2132,70
485,16,hoonxxy,1073,1528,76
486,17,hoonxxy,1061,1242,101
487,17,hoonxxy,762,2152,81
488,17,hoonxxy,935,1392,102
489,17,hoonxxy,781,1708,100
490,15,hoonxxy,719,2445,66
491,15,hoonxxy,616,2726,70
492,16,hoonxxy,985,1888,67
494,17,hoonxxy,832,2318,69
495,20,hoonxxy,909,1665,103
496,17,hoonxxy,1177,1553,72
497,18,hoonxxy,617,1855,123
498,19,hoonxxy,1184,1524,82
501,16,hoonxxy,1526,1599,51
502,17,hoonxxy,1707,1862,41
503,15,hoonxxy,1280,1496,61
504,17,hoonxxy,1267,1666,63
505,21,hoonxxy,1081,1525,100
506,19,hoonxxy,931,1711,93
507,16,hoonxxy,1366,1700,54
513,17,hoonxxy,1167,1956,58
514,15,hoonxxy,635,1962,94
515,18,hoonxxy,823,2306,74
516,17,hoonxxy,807,2808,58
517,15,hoonxxy,650,2352,76
519,16,hoonxxy,770,2201,74
521,18,hoonxxy,1207,2087,56
523,17,hoonxxy,861,1886,82
524,19,hoonxxy,771,2360,81
525,15,hoonxxy,1022,1697,67
526,16,hoonxxy,1110,2149,52
527,17,hoonxxy,1161,2136,53
528,17,hoonxxy,1086,2174,56
529,17,hoonxxy,953,2388,58
530,22,hoonxxy,756,1838,124
531,17,hoonxxy,924,1816,79
532,20,hoonxxy,721,1512,143
533,18,hoonxxy,969,1902,76
534,16,hoonxxy,1121,1631,68
535,20,hoonxxy,681,2684,85
536,19,hoonxxy,572,2112,123
537,15,hoonxxy,853,2686,51
538,16,hoonxxy,668,2018,93
539,17,hoonxxy,946,1741,80
540,16,hoonxxy,809,1804,86
542,14,hoonxxy,818,2348,57
543,15,hoonxxy,767,2597,59
544,16,hoonxxy,773,2223,73
545,17,hoonxxy,725,2673,68
548,16,hoonxxy,944,2635,50
549,16,hoonxxy,1018,2126,57
550,17,hoonxxy,904,2065,71
551,15,hoonxxy,850,2206,62
555,16,hoonxxy,836,1549,96
556,17,hoonxxy,781,1887,90
557,15,hoonxxy,865,2094,64
558,15,hoonxxy,756,2035,76
559,18,hoonxxy,660,2366,90
560,16,hoonxxy,856,2007,73
561,17,hoonxxy,617,2824,76
562,16,hoonxxy,567,2226,99
563,17,hoonxxy,803,2140,77
564,17,hoonxxy,1002,2317,57
565,15,hoonxxy,1057,1714,64
566,17,hoonxxy,1501,1924,46
567,15,hoonxxy,958,2211,55
568,18,hoonxxy,1041,1755,77
569,15,hoonxxy,1151,1745,58
570,15,hoonxxy,1119,1858,56
571,16,hoonxxy,1669,2050,36
572,15,hoonxxy,945,1560,79
573,16,hoonxxy,843,2281,65
574,15,hoonxxy,1251,2239,42
575,17,hoonxxy,1162,2559,44
576,17,hoonxxy,1023,1924,67
577,18,hoonxxy,1080,1940,67
578,15,hoonxxy,1054,1720,64
579,16,hoonxxy,635,1876,105
580,16,hoonxxy,827,2514,60
582,14,hoonxxy,1337,1924,42
583,18,hoonxxy,1164,1867,64
585,15,hoonxxy,1143,1607,64
586,17,hoonxxy,1078,1979,62
587,16,hoonxxy,997,2368,53
588,15,hoonxxy,1033,2294,49
589,17,hoonxxy,792,1910,88
590,16,hoonxxy,1219,1616,63
591,16,hoonxxy,480,2598,100
592,15,hoonxxy,931,2099,60
593,16,hoonxxy,981,2328,54
594,14,hoonxxy,1139,1701,56
595,16,hoonxxy,831,2294,65
596,15,hoonxxy,1048,2254,49
597,17,hoonxxy,1022,1743,74
598,14,hoonxxy,722,1913,79
599,17,hoonxxy,1354,1542,63
600,16,hoonxxy,924,1943,69
602,15,hoonxxy,858,2049,66
605,15,hoonxxy,978,1532,78
607,15,hoonxxy,703,1741,96
608,15,hoonxxy,1313,1476,60
609,15,hoonxxy,865,1996,68
612,17,hoonxxy,617,2414,89
613,15,hoonxxy,975,1940,62
614,15,hoonxxy,927,2159,58
616,20,hoonxxy,944,1961,84
617,15,hoonxxy,1150,1725,59
622,16,hoonxxy,1096,1782,64
624,16,hoonxxy,953,2032,64
625,16,hoonxxy,930,1890,71
628,15,hoonxxy,939,2163,57
633,3,kkang.stylist,222,38,333
634,0,kkang.stylist,250,30,0
640,7,babyjongok,667,1105,21
642,5,babyjongok,520,863,25
646,6,babyjongok,519,873,30
647,6,babyjongok,564,828,29
654,3,babyjongok,540,857,14
655,10,babyjongok,603,588,64
661,4,babyjongok,598,709,21
662,0,babyjongok,561,677,0
663,12,babyjongok,611,737,60
664,12,babyjongok,524,847,61
665,5,babyjongok,715,772,20
666,13,babyjongok,680,743,58
667,9,babyjongok,570,445,81
668,12,babyjongok,500,682,80
669,6,babyjongok,592,684,33
670,9,babyjongok,790,617,42
